,INSTNM,CITY,STABBR,PREDDEG,CONTROL,LOCALE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,DISTANCEONLY,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,NPT4_PUB,NPT4_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6,NET_COST,Binary_25k
4397,Mesabi Range Community and Technical College,Virginia,MN,2,1,33.0,,,,,,,,,0.0,986.0,0.8063,0.0822,0.0213,0.003,0.0284,0.002,0.0477,0.0051,0.0041,0.2059,7371.0,,0.433,,0.6352,,0.15,0.4648,0.2933,12499.0,138.764523,0.537330317,,0.435045025,,0.510040164,7371.0,0.0
493,McCann School of Business & Technology,Pottsville,PA,2,3,32.0,,,,,,,,,0.0,3544.0,0.6648,0.0694,0.2218,0.0045,0.0048,0.0011,0.0175,0.0,0.0161,0.3589,,18969.0,0.7859,,0.6694,,0.4802,0.9078,0.5886,19811.0,219.94271260000002,0.507346046,,0.419765161,27800.0,0.396350354,18969.0,0.0
1851,Roane-Jackson Technical Center,Leroy,WV,1,1,42.0,,,,,,,,,0.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5666.0,,0.75,,0.5833,,,0.0,0.5128,,,,,0.491793443,,,5666.0,
1758,John D Rockefeller IV Career Center,New Cumberland,WV,1,1,41.0,,,,,,,,,0.0,3.0,0.6667,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9573.0,,0.75,,1.0,,,0.85,0.6667,,,0.53125,,0.955542222,,,9573.0,
4695,J Renee Career Facilitation,Elgin,IL,1,3,12.0,,,,,,,,,0.0,110.0,0.3091,0.3545,0.2182,0.1091,0.0,0.0,0.0091,0.0,0.0,0.1818,,30143.0,0.3429,,,,,0.5286,0.7364,7261.0,80.61198505,,,0.8986,,,30143.0,
5828,DeVry University-New Jersey,North Brunswick,NJ,3,3,21.0,,,,,,,,,0.0,1452.0,0.374,0.2163,0.2713,0.0634,0.0034,0.0096,0.0062,0.0138,0.042,0.5055,,15518.0,0.5539,0.6104,,0.2703,,0.8243,0.5508,43068.0,478.14308939999995,0.544562285,0.3979,,,,15518.0,
4915,Allstate Hairstyling & Barber College,Cleveland,OH,1,3,11.0,,,,,,,,,0.0,35.0,0.3143,0.3714,0.2857,0.0,0.0,0.0,0.0,0.0,0.0286,0.2,,5224.0,0.875,,0.6,,1.0,0.0139,0.7143,,,,,0.8271530859999999,,,5224.0,
4255,National Beauty College,Denver,CO,1,3,21.0,,,,,,,,,0.0,63.0,0.254,0.0,0.3175,0.4286,0.0,0.0,0.0,0.0,0.0,0.0,,4753.0,0.4647,,0.939,,,0.0,0.6984,,,,,0.8015305340000001,,,4753.0,
4521,Forsyth Technical Community College,Winston Salem,NC,2,1,12.0,,,,,,,,,0.0,8642.0,0.5653,0.3072,0.0672,0.0142,0.0047,0.0015,0.0196,0.0047,0.0155,0.5058,6085.0,,0.5068,,0.5729,,0.3978,0.2024,0.4487,11984.5,133.0525182,,,0.242892925,25700.0,0.408427864,6085.0,0.0
5870,Everest College-Everett,Everett,WA,1,3,12.0,,,,,,,,,0.0,451.0,0.6475,0.0554,0.1286,0.0554,0.0222,0.0089,0.0732,0.0,0.0089,0.0244,,18605.0,0.6474,,0.7708,,,0.6063,0.5211,9500.0,105.469475,0.43024245,,0.7531506309999999,29700.0,0.469184905,18605.0,0.0
2993,Webster University,Saint Louis,MO,3,2,21.0,575.0,545.0,530.0,24.0,25.0,22.0,7.0,1107.0,0.0,3398.0,0.6604,0.1463,0.0415,0.0253,0.0021,0.0012,0.0227,0.0165,0.0842,0.2443,,21057.0,0.3501,0.8078,,0.6667,,0.6536,0.3268,25000.0,277.55125,0.821685509,0.615958269,,39400.0,0.620689631,21057.0,1.0
